Threshold,Accuracy,Precision,Recall,Specificity,Negative Predictive Value,F1 Score,Balanced Accuracy,ROC AUC,PR AUC,Matthews Correlation Coefficient,Log Loss,True Negatives,False Positives,False Negatives,True Positives,False Positive Rate,False Negative Rate
0.1,0.6590126291618829,0.4432556362246848,0.9764309764309764,0.5399431638774865,0.9838895281933256,0.6097240473061761,0.7581870701542315,0.9050400994472673,0.7881839093508949,0.4696453098491107,0.3399088602122364,3420,2914,56,2320,0.4600568361225134,0.02356902356902357
0.11,0.6723306544202067,0.4530636292223095,0.9709595959595959,0.560309441111462,0.9809286898839138,0.6178361006963042,0.7656345185355289,0.9050400994472673,0.7881839093508949,0.4801735951380485,0.3399088602122364,3549,2785,69,2307,0.43969055888853803,0.02904040404040404
0.12,0.6864523536165327,0.4641920516441396,0.9684343434343434,0.5806757183454373,0.9800159872102319,0.6275739806354834,0.7745550308898903,0.9050400994472673,0.7881839093508949,0.4938816696926493,0.3399088602122364,3678,2656,75,2301,0.4193242816545627,0.03156565656565657
0.13,0.6981630309988519,0.47383660806618405,0.9642255892255892,0.5983580675718345,0.9780645161290322,0.6354181112189711,0.7812918283987118,0.9050400994472673,0.7881839093508949,0.5042144255776619,0.3399088602122364,3790,2544,85,2291,0.4016419324281655,0.03577441077441077
0.13999999999999999,0.7090700344431687,0.48324140857021636,0.9587542087542088,0.6154089043258605,0.9754754754754755,0.6425952045133991,0.7870815565400346,0.9050400994472673,0.7881839093508949,0.5132039693592243,0.3399088602122364,3898,2436,98,2278,0.38459109567413957,0.041245791245791245
0.14999999999999997,0.7183696900114811,0.4916431517256349,0.9532828282828283,0.6302494474265867,0.9729466244211552,0.6487183159100673,0.7917661378547075,0.9050400994472673,0.7881839093508949,0.5206756469686902,0.3399088602122364,3992,2342,111,2265,0.3697505525734133,0.04671717171717172
0.15999999999999998,0.7276693455797933,0.5004442470013327,0.9482323232323232,0.6449321124092201,0.9707699619771863,0.6551323059028787,0.7965822178207717,0.9050400994472673,0.7881839093508949,0.5286846984120304,0.3399088602122364,4085,2249,123,2253,0.3550678875907799,0.05176767676767677
0.16999999999999998,0.7380022962112515,0.5107012750455373,0.944023569023569,0.6607199242185033,0.9691987031032886,0.6628250591016549,0.8023717466210362,0.9050400994472673,0.7881839093508949,0.5387173555701683,0.3399088602122364,4185,2149,133,2243,0.33928007578149666,0.05597643097643098
0.17999999999999997,0.7440872560275545,0.5171368617393332,0.9335016835016835,0.6730344174297442,0.9642614793033251,0.6655663915978994,0.8032680504657139,0.9050400994472673,0.7881839093508949,0.540356801355245,0.3399088602122364,4263,2071,158,2218,0.32696558257025576,0.0664983164983165
0.18999999999999995,0.7506314580941447,0.5242857142857142,0.9267676767676768,0.684559520050521,0.9614190687361419,0.6697080291970803,0.805663598409099,0.9050400994472673,0.7881839093508949,0.5449078302666813,0.3399088602122364,4336,1998,174,2202,0.315440479949479,0.07323232323232323
0.19999999999999996,0.7579793340987371,0.5326351680467608,0.9204545454545454,0.6970318913798548,0.9589487402258905,0.6747917309472385,0.8087432184172001,0.9050400994472673,0.7881839093508949,0.5509504477939992,0.3399088602122364,4415,1919,189,2187,0.3029681086201452,0.07954545454545454
0.20999999999999996,0.7645235361653272,0.5404329435182881,0.9141414141414141,0.7083991158825387,0.9565124706885525,0.6792806880375293,0.8112702650119764,0.9050400994472673,0.7881839093508949,0.5562091886631318,0.3399088602122364,4487,1847,204,2172,0.2916008841174613,0.08585858585858586
0.21999999999999995,0.7700344431687716,0.5473951715374841,0.9065656565656566,0.7188190716766656,0.9535078534031414,0.6826176517192204,0.8126923641211611,0.9050400994472673,0.7881839093508949,0.5596937574497773,0.3399088602122364,4553,1781,222,2154,0.2811809283233344,0.09343434343434344
0.22999999999999995,0.777382319173364,0.5570347167841295,0.8981481481481481,0.7320808335964635,0.9503996720639475,0.6876107620428549,0.8151144908723058,0.9050400994472673,0.7881839093508949,0.565508495237625,0.3399088602122364,4637,1697,242,2134,0.26791916640353647,0.10185185185185185
0.23999999999999994,0.7842709529276694,0.5665684436110368,0.8901515151515151,0.7445532049257972,0.9475587703435805,0.6924210181699132,0.8173523600386562,0.9050400994472673,0.7881839093508949,0.571243353937001,0.3399088602122364,4716,1618,261,2115,0.2554467950742027,0.10984848484848485
0.24999999999999992,0.790126291618829,0.5751508502468459,0.8825757575757576,0.7554467950742028,0.9449052132701422,0.6964463633344404,0.8190112763249802,0.9050400994472673,0.7881839093508949,0.5760273406412222,0.3399088602122364,4785,1549,279,2097,0.2445532049257973,0.11742424242424243
0.2599999999999999,0.7963260619977038,0.584740990990991,0.8741582491582491,0.7671297758130723,0.9420317952694843,0.7007422402159245,0.8206440124856607,0.9050400994472673,0.7881839093508949,0.5812168955816928,0.3399088602122364,4859,1475,299,2077,0.23287022418692768,0.12584175084175084
0.2699999999999999,0.8005740528128588,0.5921546005191809,0.8640572390572391,0.7767603410167351,0.9383940492084685,0.7027212048605168,0.8204087900369871,0.9050400994472673,0.7881839093508949,0.5830822427668216,0.3399088602122364,4920,1414,323,2053,0.22323965898326492,0.13594276094276095
0.2799999999999999,0.804707233065442,0.5996457041629761,0.8547979797979798,0.7859172718661194,0.9351869246665414,0.704841228526809,0.8203576258320495,0.9050400994472673,0.7881839093508949,0.585384849802825,0.3399088602122364,4978,1356,345,2031,0.21408272813388066,0.1452020202020202
